"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lightchiropractic.sg/privacy-policy/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/privacy-policy/","https://www.lightchiropractic.sg/","0","","https://www.lightchiropractic.sg","200","OK","true","","","Absolute","//body/div[@class='fl-page']/div[@class='fl-page-content']/div/div/div/article/div/p[1]/a","Content","HTML"
"Hyperlink","https://www.lightchiropractic.sg/treatment/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/ankle-and-knee-pain/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/conditions-chiropractic-for-kids/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/treatment/slipped-disc/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/scoliosis/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/how-office-workers-can-benefit-from-chiropractic-care/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/common-exercises-your-phsyio-may-show-you-for-low-back-pain/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/treat-lower-back-pain-from-covid-in-singapore/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
